ATP sythase subunit 8	ATP8
AyCOI	COX1
BmaCOI	COX1
BmoCOI	COX1
c01	COX1
C0I	COX1
Cb	CYTB
CB	CYTB
cCOII	COX2
chytochrome c oxidase subunit I	COX1
chytochrome c oxidase subunit II	COX2
chytochrome c oxidase subunit III	COX3
CjCOI	COX1
clone 39-1	NAD2
clone 82-2	NAD2
co1	COX1
Co1	COX1
CO 1	COX1
CO-1	COX1
CO1	COX1
CO 2	COX2
CO2	COX2
Co3	COX3
CO 3	COX3
CO3	COX3
CO3 subunit 3	COX3
cob	CYTB
COI 1	COX1
coi	COX1
co I	COX1
Co I	COX1
CO I	COX1
CO-I	COX1
COI	COX1
coii	COX2
co II	COX2
Co II	COX2
CO II	COX2
CO-II	COX2
COII	COX2
coiii	COX3
Co III	COX3
CO III	COX3
CO-III	COX3
COIII	COX3
COIII protein	COX3
COIII translated region	COX3
COII protein	COX2
COI-LCO	COX1
COI-PAT	COX1
COI protein	COX1
COl	COX1
COll	COX2
cotochrome b	CYTB
cox1a	COX1
cox1b	COX1
cox 1	COX1
cox-1	COX1
cox1	COX1
Cox1	COX1
COX 1	COX1
COX-1	COX1
COX1	COX1
cox-2	COX2
cox2	COX2
COX 2	COX2
COX2	COX2
cox3	COX3
Cox3	COX3
COX-3	COX3
COX3	COX3
coxA	COX1
COX	COX1
cox I	COX1
coxI	COX1
CoxI	COX1
COX-I	COX1
COXI	COX1
coxii	COX2
cox II	COX2
coxII	COX2
CoxII	COX2
COX II	COX2
COX-II	COX2
COXII	COX2
coxIII	COX3
CoxIII	COX3
COX III	COX3
COX-III	COX3
COXIII	COX3
ctb	CYTB
C-terminal domain of Cytochrome c Oxidase subunit II	COX2
ctochrome oxidase I	COX1
ctyb	CYTB
CTYB	CYTB
cutochrome c oxidase subunit I	COX1
cutochrome oxidase subunit 3	COX3
cutochrome oxidase subunit II	COX2
cyb	CYTB
CYB	CYTB
cybt	CYTB
CYCS	COX1
cyctochrome c oxidase subunit 1	COX1
cyctochrome oxidase subunit 1	COX1
cycytochrome oxidase I	COX1
cynb	CYTB
cyochrome oxidase subunit I	COX1
cyochrome oxidase subunit II	COX2
cyochrome oxidase subunit III	COX3
cyotchrome oxidase subunit I	COX1
cyotochrome oxidase subunit I	COX1
cyrochrome b	CYTB
cyrochrome oxidase subunit 1	COX1
cyrochrome oxidase subunit I	COX1
cytb1	CYTB
cytb2	CYTB
cytb3	CYTB
cytb4	CYTB
cyt b	CYTB
cyt-b	CYTB
cytb	CYTB
cyt-B	CYTB
cytB	CYTB
Cyt b	CYTB
Cyt-b	CYTB
Cyt.b	CYTB
Cytb	CYTB
CytB	CYTB
CYTB	CYTB
cytbochrome b	CYTB
cytb protein	CYTB
Cytb protein	CYTB
cytc	COX1
cytchorome b	CYTB
cytchrome b	CYTB
cytchrome c oxidase subunit I	COX1
cytchrome c oxidase subunit II	COX2
cytchrome c oxidase subunit III	COX3
cytchrome oxidase subunit I	COX1
cyt	CYTB
cythochrome oxidase subunit I	COX1
Cythocrome b	CYTB
cyto b	CYTB
CytoB	CYTB
cytochdrome c oxidase subunit I	COX1
cytochdrome c oxidase subunit II	COX2
cytochdrome c oxidase subunit III	COX3
cytochome b	CYTB
cytochome c oxidase subunit 1	COX1
cytochome c oxidase subunit 2	COX2
cytochome c oxidase subunit 3	COX3
cytochome c oxidase subunit I	COX1
cytochome oxidase II	COX2
cytochome oxidase subunit 1	COX1
cytochome oxidase subunit 2	COX2
cytochome oxidase subunit I	COX1
cytochome oxidse II	COX2
cytochorme b	CYTB
cytochorme oxidase subunit I	COX1
cytochorome b	CYTB
cytochorome c oxidase subunit I	COX1
cytochorome c oxidase subunit II	COX2
cytochorome oxidase subunit I	COX1
cytochorome oxidase subunit II	COX2
cytochorome oxidase subunit III	COX3
cytochorom oxidase subunit II	COX2
cytochroe c oxidase subunit 1	COX1
cytochroime b	CYTB
cytochrom b	CYTB
cytochrom b protein	CYTB
cytochrom c oxidase subunit 1	COX1
cytochrom c oxidase subunit 3	COX3
cytochrome apoenzyme b	CYTB
cytochrome b (45 AA)	CYTB
cytochrome-b5 reductase	CYTB
cytochrome b apoenzyme	CYTB
cytochrome b	CYTB
